Country,ISO3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,37.0,31.44885,37.0,37.0,37.0,38.16804,37.0,37.0,37.0,37.0,37.0,37.26604,37.0
Albania,ALB,99.0,96.8453,97.24697,99.0,99.0,97.5539,99.0,99.0,99.0,99.0,99.0,99.0,98.5
Algeria,DZA,81.0,81.0,81.0,81.0,81.0,79.6084,81.0,81.0,81.40784,81.0,81.0,81.0,81.0
American Samoa,ASM,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Andorra,AND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Angola,AGO,72.0,72.0,72.0,72.0,66.03011,71.16416,72.0,72.0,72.0,72.0,72.0,72.0,72.4
Anguilla,AIA,,,,,,,,,,,,,
Antigua and Barbuda,ATG,99.0,99.0,99.0,99.0,98.95,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Argentina,ARG,99.0,99.0,99.0,99.0,98.03402,98.08997,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Armenia,ARM,100.0,99.74441,100.0,100.0,100.0,99.76842,99.74441,99.73607,100.0,100.0,99.78861,100.0,100.0
Aruba,ABW,96.82264,98.0,98.0,98.0,98.0,97.5242,98.0,98.0,98.0,98.0,97.99,98.0,98.0
Australia,AUS,,,,,,,,,,,,,
Austria,AUT,,98.0,,,,,,,,,,,
Azerbaijan,AZE,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,100.0,99.79598,100.0,100.0,100.0
Bahamas,BHS,,,,,,,,,,,,,
Bahrain,BHR,94.55679,92.3,98.0,98.0,98.0,95.71726,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Bangladesh,BGD,75.0,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297,73.9122,74.68446,74.9089,75.0,75.0
Barbados,BRB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belarus,BLR,100.0,100.0,100.0,100.0,100.0,99.72204,100.0,100.0,100.0,99.874,100.0,100.0,100.0
Belgium,BEL,,,,,,,,,,,,,
Belize,BLZ,81.0,81.0,81.0,81.0,81.0,82.77682,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Benin,BEN,47.0,47.0,32.94882,47.0,47.0,38.44714,47.0,47.0,47.0,47.0,47.0,47.0,47.1
Bermuda,BMU,,,,,,,,,,,,,
Bhutan,BTN,72.0,72.0,55.31756,72.0,72.0,63.90682,72.0,66.56115,72.0,72.0,72.0,72.0,72.1
Bolivia,BOL,94.0,92.22615,94.46057,94.0,94.0,92.45508,94.0,94.0,94.0,94.0,93.85256,94.0,94.0
Bosnia and Herzegovina,BIH,98.0,98.14204,98.0,96.99177,98.37765,98.48576,98.0,98.0,98.0,98.0,98.0,98.0,98.3
Botswana,BWA,89.0,89.0,89.0,86.82318,87.70751,88.22441,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Brazil,BRA,90.37918,91.41124,91.33785,91.48424,91.72943,92.0479,92.80844,93.07582,93.2275,94.0,94.0,94.0,94.69
British Virgin Islands,VGB,,,,,,,,,,,,,
Brunei,BRN,98.0,96.08556,98.0,98.0,98.0,96.65653,98.0,98.0,97.21411,98.0,98.0,97.59,98.0
Bulgaria,BGR,98.0,98.35245,98.0,98.0,98.0,98.38858,98.0,98.0,98.0,98.0,98.0,98.42,98.0
Burkina Faso,BFA,34.0,34.0,34.0,34.0,34.5994,37.7467,34.0,34.0,39.34585,29.66328,34.0,34.0,34.49
Burundi,BDI,76.0,76.0,76.0,76.0,61.51349,85.49609,76.0,68.37533,76.0,76.0,76.0,76.0,75.54
Cambodia,KHM,84.0,84.0,84.0,84.0,78.05509,80.52649,84.0,84.0,84.0,84.0,84.0,84.0,83.78
Cameroon,CMR,71.29051,78.0,78.0,78.0,78.0,74.98558,78.0,78.0,77.07104,78.0,78.23,78.0,78.0
Canada,CAN,,,,,,,,,,,,,
Cape Verde,CPV,91.0,91.0,85.32779,91.0,91.0,86.79029,91.0,91.0,91.0,91.0,91.0,91.0,91.0
Cayman Islands,CYM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.86782,99.0,99.0,99.0,99.0,99.0
Central African Republic,CAF,36.75261,37.0,37.0,37.0,37.0,36.75261,37.0,37.0,37.39582,37.0,37.49,37.0,37.0
Chad,TCD,27.0,27.0,27.0,27.0,39.04967,26.00299,22.31155,27.0,27.0,27.0,27.0,27.0,27.28
Chile,CHL,97.0,96.70301,97.0,96.26706,97.0,96.87413,97.0,96.40228,97.0,97.0,97.0,97.0,97.16
China,CHN,95.12448,97.0,97.0,97.0,97.0,96.35745,97.0,97.0,97.0,97.0,97.15,97.0,97.0
Colombia,COL,93.37233,93.58053,96.0,96.0,94.18625,94.24505,94.65385,96.0,95.09251,95.24927,95.63633,96.0,96.0
Comoros,COM,62.0,62.0,49.19614,62.0,77.57327,78.13739,62.0,62.0,62.0,62.0,62.0,62.0,61.71
Congo,COG,,79.31117,,,,79.31117,,,,,,80.61,
Cook Islands,COK,,95.0,,,,,,,,,,,
Costa Rica,CRI,98.0,97.40658,98.0,98.0,98.0,97.64725,98.0,98.0,98.0,98.0,98.0,98.04,98.0
Cote d'Ivoire,CIV,,,40.98163,,43.90842,43.26532,,,,89.89342,,,
Croatia,HRV,99.0,99.12536,99.0,99.0,99.0,99.27259,99.0,99.0,99.0,99.0,99.0,99.45,99.0
Cuba,CUB,100.0,100.0,99.67311,100.0,100.0,99.71072,100.0,100.0,100.0,100.0,100.0,99.67311,100.0
Cyprus,CYP,99.0,98.67843,99.0,99.0,99.0,99.05978,99.0,99.0,99.0,99.0,99.0,99.36,99.0
Czechia,CZE,,99.0,,,,,,,,,,,
Democratic Republic of Congo,COD,,,75.01719,,,77.22167,77.04268,,,,,,80.54
Denmark,DNK,,,,,,,,,,,,,
Djibouti,DJI,,,,,,,,,,,,,
Dominica,DMA,,,,,,,,,,,,,
Dominican Republic,DOM,89.53873,90.10638,90.15518,90.85815,91.76376,91.99121,93.77846,95.0,95.0,95.0,95.0,95.0,95.5
East Timor,TLS,58.30898,,,,,64.06614,,,,,69.9,,
Ecuador,ECU,91.85404,91.5869,92.06473,93.29463,94.22264,94.45566,94.35023,92.82979,94.0,94.0,93.6261,94.48359,93.94812
Egypt,EGY,72.04785,75.0,73.86559,72.4425,75.0,75.84262,75.0,71.16825,75.0,75.0,75.0,75.0,74.5
El Salvador,SLV,84.49272,85.49399,90.0,86.76758,90.0,87.96985,88.14177,88.48271,89.0086,89.13792,89.98453,90.0,90.0
Equatorial Guinea,GNQ,94.37054,95.0,95.0,95.0,94.95674,95.19566,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Eritrea,ERI,77.0,77.0,77.0,77.0,72.79049,73.84525,77.0,77.0,76.57052,77.0,77.0,77.0,77.0
Estonia,EST,100.0,99.88579,100.0,100.0,100.0,99.82351,100.0,100.0,100.0,100.0,100.0,99.87,100.0
Eswatini,SWZ,83.09829,89.0,89.0,89.0,89.0,87.47019,89.0,89.0,89.0,89.0,89.28,89.0,89.0
Ethiopia,ETH,52.0,52.0,52.0,52.0,52.0,49.03152,52.0,51.77118,52.0,52.0,52.0,52.0,52.0
Fiji,FJI,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Finland,FIN,,,,,,,,,,,,,
France,FRA,,,,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,,,,
Gabon,GAB,86.0,86.0,82.2838,86.0,86.0,83.23788,86.0,86.0,86.0,86.0,86.0,86.0,85.69
Gambia,GMB,59.0,59.0,59.0,41.95005,54.38756,50.77797,59.0,59.0,59.0,59.0,59.0,59.0,58.67
Georgia,GEO,100.0,100.0,100.0,100.0,99.58619,99.75962,100.0,99.36426,100.0,100.0,100.0,100.0,99.57499
Germany,DEU,,,,,,,,,,,,,
Ghana,GHA,71.49707,80.0,80.0,80.0,80.0,76.5759,80.0,80.0,80.0,80.0,80.38,80.0,80.0
Gibraltar,GIB,,80.0,,,,,,,,,,,
Greece,GRC,98.0,98.0,98.0,98.0,97.53238,95.29287,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Greenland,GRL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenada,GRD,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Guam,GUM,100.0,100.0,100.0,100.0,100.0,99.78904,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guatemala,GTM,84.0,84.0,78.26486,77.03867,81.2859,79.07421,84.0,84.0,80.81068,84.0,84.0,84.0,84.27
Guinea,GIN,25.30774,45.0,45.0,45.0,32.00384,30.47279,45.0,45.0,39.61768,45.0,45.0,45.33,45.0
Guinea-Bissau,GNB,54.0,54.0,54.0,54.0,45.58116,59.77285,54.0,54.0,54.0,54.0,54.0,54.0,53.9
Guyana,GUY,90.0,90.0,90.0,90.0,85.63973,87.53532,90.0,90.0,90.0,90.0,90.0,90.0,90.03
Haiti,HTI,62.0,62.0,62.0,62.0,62.0,60.68935,61.69135,62.0,62.0,62.0,62.0,62.0,62.0
Honduras,HND,84.75536,85.1233,85.35555,85.46442,87.19753,87.90683,88.98748,89.0,87.20524,88.50743,89.0,89.0,89.0
Hong Kong,HKG,,,,,,,,,,,,,
Hungary,HUN,99.0,99.0,99.0,99.0,99.05012,99.38088,99.0,99.0,99.0,99.0,99.0,99.1,99.0
Iceland,ISL,,,,,,,,,,,,,
India,IND,74.0,69.30256,74.0,74.0,74.0,72.2253,74.0,74.0,74.0,74.0,74.0,74.0,76.32278
Indonesia,IDN,96.0,92.81191,96.0,96.0,95.11622,95.21793,95.37697,96.0,95.65856,96.0,95.99901,96.0,96.0
Iran,IRN,89.0,89.0,83.62599,84.6268,84.70524,87.17253,85.54425,89.0,89.0,89.0,89.0,89.0,88.96
Iraq,IRQ,,,77.2,,82.2,79.72176,83.3,85.6,,,,,
Ireland,IRL,,,,,,,,,,,,,
Israel,ISR,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Italy,ITA,99.0,98.84828,99.0,99.0,99.0,99.01579,99.0,99.0,99.0,99.3491,99.0,99.0,99.0
Jamaica,JAM,89.0,89.0,89.0,89.0,88.13225,88.4999,89.0,89.0,89.0,89.0,89.0,89.0,89.0
Japan,JPN,,,,,,,,,,,,,
Jordan,JOR,92.55104,95.90445,97.89032,98.0,98.0,98.01435,98.0,98.0,98.0,98.0,98.0,98.42,98.0
Kazakhstan,KAZ,99.78163,100.0,100.0,100.0,100.0,99.78785,100.0,100.0,100.0,100.0,99.8,100.0,100.0
Kenya,KEN,83.0,83.0,83.0,83.0,78.73304,78.0234,83.0,83.0,83.0,83.0,83.0,83.0,82.88
Kosovo,OWID_KOS,,,,,,,,,,,,,
Kuwait,KWT,94.46901,96.0,95.51317,95.58582,96.0,95.68545,96.0,96.03595,96.05647,96.0,96.45754,96.0,96.0
Kyrgyzstan,KGZ,100.0,100.0,100.0,100.0,100.0,99.50132,100.0,100.0,100.0,99.6,100.0,100.0,100.0
Laos,LAO,88.0,58.28794,88.0,88.0,88.0,84.66104,88.0,88.0,88.0,88.0,88.0,88.0,87.52
Latvia,LVA,100.0,99.8959,100.0,100.0,100.0,99.89269,100.0,100.0,100.0,100.0,100.0,99.89,100.0
Lebanon,LBN,95.0,95.0,95.0,95.0,95.0,94.0511,95.0,95.0,95.0,95.3,95.0,95.0,95.0
Lesotho,LSO,82.0,82.0,82.0,82.0,76.6352,79.36093,82.0,82.0,82.0,82.0,82.0,82.0,82.01
Liberia,LBR,48.0,48.0,48.0,48.0,48.0,47.60014,48.0,48.30136,48.0,48.0,48.0,48.0,48.0
Libya,LBY,91.0,91.0,91.0,91.0,91.04144,91.38887,91.0,91.0,91.0,91.0,91.0,91.0,91.0
Liechtenstein,LIE,,100.0,,,,,,,,,,,
Lithuania,LTU,100.0,99.8156,100.0,100.0,100.0,99.82328,100.0,100.0,100.0,100.0,100.0,99.83,100.0
Luxembourg,LUX,,,,,,,,,,,,,
Macao,MAC,,95.64004,,,,96.2276,96.53849,,,,,97.11,
Madagascar,MDG,77.0,77.0,71.57262,77.0,77.0,64.6563,77.0,77.0,76.67968,77.0,77.0,77.0,77.48
Malawi,MWI,61.30972,68.0,68.0,68.0,65.14537,62.14354,68.0,68.0,68.0,68.0,68.0,68.0,68.08
Malaysia,MYS,93.11789,95.0,95.0,95.0,95.0,94.63699,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Maldives,MDV,98.0,98.0,98.0,98.0,98.61012,99.32102,97.73495,98.0,98.0,98.0,98.0,97.86,98.0
Mali,MLI,31.09975,30.61867,31.0,31.0,31.0,33.06889,31.0,31.0,35.47377,31.0,30.76141,31.0,31.0
Malta,MLT,95.0,93.30736,95.0,95.0,95.0,94.06661,95.0,95.0,95.0,95.0,95.0,94.94,95.0
Marshall Islands,MHL,98.0,98.26508,98.0,98.0,98.0,98.26508,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Mauritania,MRT,67.0,67.0,67.0,62.06875,67.0,52.12356,67.0,67.0,67.0,67.0,67.0,66.96,67.0
Mauritius,MUS,92.0,89.24984,91.76601,91.49003,92.47476,92.7076,93.15784,92.0,92.0,92.0,92.0,92.15,92.0
Mexico,MEX,93.06894,93.51998,94.2284,93.96285,94.55588,94.47228,94.85962,94.97278,95.37991,95.0,95.24785,95.0,95.0
Moldova,MDA,100.0,100.0,100.0,100.0,99.35989,99.24439,100.0,100.0,100.0,100.0,100.0,99.6,100.0
Monaco,MCO,,,,,,,,,,,,,
Mongolia,MNG,98.257,99.0,99.0,99.0,99.0,98.36764,99.0,99.0,99.0,99.0,99.18327,99.0,99.0
Montenegro,MNE,99.0,98.44221,99.0,99.0,99.0,98.71995,99.0,99.0,99.0,99.0,99.0,98.98,99.0
Montserrat,MSR,,,,,,,,,,,,,
Morocco,MAR,77.0,67.08416,69.42539,77.0,75.5862,71.71055,77.0,77.0,77.0,77.0,77.0,77.0,77.35
Mozambique,MOZ,63.0,63.0,63.0,63.0,63.0,56.039,63.0,60.65543,63.0,63.0,59.77961,63.0,63.0
Myanmar,MMR,89.0,89.0,89.0,89.0,92.92316,93.09005,75.5512,89.0,89.0,89.06995,89.0,89.0,89.0
Namibia,NAM,92.0,88.27463,92.0,92.0,92.0,90.8205,92.0,92.0,92.0,92.0,92.0,92.25,92.0
Nepal,NPL,71.0,59.62725,71.0,71.0,71.0,64.66364,71.0,71.0,71.0,71.0,71.0,71.15,71.0
Netherlands,NLD,,,,,,,,,,,,,
New Caledonia,NCL,97.0,97.0,97.0,97.0,96.80667,96.93782,97.0,97.0,97.0,97.0,97.0,97.0,97.0
New Zealand,NZL,,,,,,,,,,,,,
Nicaragua,NIC,83.0,83.0,83.0,83.0,83.0,82.61455,83.0,83.0,83.0,83.0,83.0,83.0,83.0
Niger,NER,38.0,38.0,30.56039,38.0,38.0,19.1026,38.0,38.0,38.0,38.0,38.0,38.0,38.1
Nigeria,NGA,62.0,62.0,62.0,62.0,62.0,59.56808,62.0,62.0,62.01601,62.0,62.0,62.0,62.0
Niue,NIU,,95.0,,,,,,,,,,,
North Korea,PRK,,,,,,99.99924,,,99.99819,,,,
North Macedonia,MKD,98.0,98.0,97.6,98.0,97.75175,97.84376,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Northern Mariana Islands,MNP,,,,,,,,,,,,,
Norway,NOR,,100.0,,,,,,,,,,,
Oman,OMN,86.939,97.0,97.0,97.0,91.9812,93.03861,97.0,95.576,95.65153,97.0,97.0,97.0,97.33906
Pakistan,PAK,55.37519,54.73802,56.76434,55.59499,56.97715,56.44031,58.0,59.13205,57.01057,57.99886,58.0,58.0,58.0
Palau,PLW,97.0,97.0,97.0,99.50313,97.0,96.59374,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Palestine,PSE,94.71748,95.02582,95.67101,96.04603,96.21293,96.47712,96.71919,96.9244,97.21861,97.37826,,,
Panama,PAN,94.09412,96.0,96.0,96.0,96.0,95.03823,96.0,96.0,95.41181,95.73608,96.0,96.0,96.0
Papua New Guinea,PNG,61.6,64.0,64.0,64.0,63.09609,63.43349,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Paraguay,PRY,93.87092,95.0,94.19747,95.05904,95.03481,95.55484,94.65024,95.0,94.0208,93.21353,94.54455,95.0,95.0
Peru,PER,94.0,94.0,93.84173,94.0,93.70795,94.16234,94.17367,94.14961,94.40827,94.0,94.49793,94.0,94.0
Philippines,PHL,96.0,96.0,96.0,96.398,96.0,98.18255,96.0,96.0,96.0,96.27817,96.0,96.0,96.0
Poland,POL,100.0,100.0,100.0,100.0,99.77411,99.78742,100.0,100.0,100.0,100.0,100.0,99.8,100.0
Portugal,PRT,97.0,94.47705,97.0,97.0,97.0,95.42811,97.0,97.0,97.0,97.0,97.0,96.78,97.0
Puerto Rico,PRI,91.96523,92.0,92.0,92.0,92.0,93.32942,92.0,92.39,92.0,92.0,92.0,92.4,92.0
Qatar,QAT,96.28374,96.40687,96.67859,97.47785,97.74669,97.75709,94.0,94.0,94.0,94.0,94.0,94.0,94.0
Romania,ROU,99.0,98.60429,99.0,99.0,99.0,98.75703,99.0,99.0,99.0,99.0,99.0,98.9,99.0
Russia,RUS,99.68427,100.0,100.0,100.0,100.0,99.71957,100.0,100.0,100.0,100.0,100.0,99.92777,100.0
Rwanda,RWA,65.85227,76.0,68.33103,76.0,70.80413,71.2435,76.0,76.0,73.21559,76.0,76.0,75.9,76.0
Saint Helena,SHN,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,,,,,,,,,,,,,
Saint Lucia,LCA,,,,,,,,,,,,,
Saint Pierre and Miquelon,SPM,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Samoa,WSM,99.0,98.97326,99.0,99.0,99.0,99.01501,99.0,99.0,99.0,99.0,99.0,99.1,99.0
San Marino,SMR,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sao Tome and Principe,STP,94.0,94.0,90.1431,94.0,94.0,91.74711,94.0,94.0,94.0,94.0,94.0,94.0,93.75
Saudi Arabia,SAU,98.0,98.0,98.0,94.42634,98.0,94.84237,98.0,95.32863,98.0,98.0,97.58507,98.0,98.0
Senegal,SEN,58.0,51.81455,58.0,43.5345,58.0,55.62485,58.0,51.90042,58.0,58.0,58.0,58.0,57.67
Serbia,SRB,99.0,97.96241,99.0,99.0,99.0,98.00289,98.84151,99.0,99.0,99.48253,99.0,99.0,99.0
Seychelles,SYC,93.95423,96.0,96.0,96.0,96.0,95.32108,96.0,96.0,96.0,96.0,96.2,96.0,96.0
Sierra Leone,SLE,49.0,49.0,49.0,32.42617,47.18624,48.4319,49.0,49.0,49.0,49.0,49.0,49.0,48.64
Singapore,SGP,95.85733,96.18604,96.36979,96.54802,96.71669,96.82549,97.04956,97.20222,97.34486,97.47958,97.13185,97.0,97.0
Slovakia,SVK,,,,,,,,,,,,,
Slovenia,SVN,100.0,100.0,100.0,100.0,99.71005,99.71476,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Solomon Islands,SLB,77.0,84.1,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
Somalia,SOM,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.025
South Africa,ZAF,92.87732,93.10214,93.72947,90.0,94.1399,94.36792,90.0,87.04667,90.0,95.02297,90.0,90.00136,90.0
South Korea,KOR,,,,,,,,,98.8,,,,
South Sudan,SSD,35.0,35.0,35.0,35.0,35.0,31.97625,35.0,35.0,34.52276,35.0,35.0,35.0,35.0
Spain,ESP,97.7489,97.78375,97.89454,98.07913,98.09372,98.14326,98.25051,99.0,98.4365,99.0,98.59446,99.0,99.0
Sri Lanka,LKA,91.18136,,,,,92.61417,92.3869,91.89575,91.70982,92.25296,92.3823,92.42903,
Sudan,SDN,61.0,61.0,61.0,61.0,61.0,58.60132,61.0,61.0,60.69718,61.0,61.0,61.0,61.0
Suriname,SUR,94.67575,95.0,92.86866,95.0,95.0,95.53899,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Sweden,SWE,,,,,,,,,,,,,
Switzerland,CHE,,,,,,,,,,,,,
Syria,SYR,86.0,86.0,86.0,86.0,86.3,86.30393,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Taiwan,TWN,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Tajikistan,TJK,99.7,100.0,100.0,100.0,99.76841,99.78105,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tanzania,TZA,67.8007,82.0,78.10059,82.0,82.0,77.88723,82.0,82.0,82.0,82.0,82.0,82.0,82.02
Thailand,THA,96.43091,94.0,94.0,93.70207,94.0,92.86831,94.0,94.0,93.76776,94.0,94.0,94.1,94.0
Togo,TGO,67.0,60.40994,67.0,67.0,67.0,63.74562,67.0,67.0,67.0,66.53708,67.0,67.0,67.0
Tonga,TON,99.0,99.38553,99.0,99.0,99.0,99.39786,99.0,99.0,99.0,99.0,99.0,99.4,99.0
Trinidad and Tobago,TTO,98.0,98.0,98.0,98.0,98.91949,98.96958,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Tunisia,TUN,79.13058,79.65391,80.21875,84.0,79.03643,81.05419,84.0,84.0,84.0,84.0,84.0,84.0,83.56
Turkey,TUR,92.6606,94.10609,94.91975,95.25666,95.43963,95.60142,96.16733,96.15053,97.0,96.74221,97.0,97.0,97.0
Turkmenistan,TKM,99.0,99.0,99.0,99.0,99.67285,99.69293,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Turks and Caicos Islands,TCA,,,,,,,,,,,,,
Uganda,UGA,73.21188,81.0,70.19822,81.0,81.0,73.80984,81.0,81.0,76.5275,81.0,81.0,81.0,80.59
Ukraine,UKR,100.0,100.0,99.97435,100.0,99.75347,99.76411,100.0,100.0,100.0,100.0,100.0,100.0,100.0
United Arab Emirates,ARE,98.0,98.0,98.0,98.0,98.0,92.98637,98.0,98.0,98.0,97.78251,98.0,98.12636,98.28541
United Kingdom,GBR,,,,,,,,,,,,,
United States,USA,,,,,,,,,,,,,
Uruguay,URY,98.07271,98.3359,98.39594,98.36387,98.43593,98.52387,98.56147,98.61572,98.70386,98.77035,99.0,99.0,99.0
Uzbekistan,UZB,100.0,100.0,100.0,99.99486,99.98055,99.98383,99.98657,100.0,99.99289,99.99995,100.0,99.99792,99.99998
Vanuatu,VUT,89.0,89.0,89.0,89.0,84.7,85.05868,89.0,89.0,89.0,89.0,89.0,89.1,89.0
Vatican,VAT,,100.0,,,,,,,,,,,
Venezuela,VEN,98.0,94.77022,98.0,98.0,98.0,96.60522,97.12709,98.0,98.0,98.0,98.0,98.0,97.6
Vietnam,VNM,96.0,96.0,96.0,96.0,96.0,94.51427,96.0,96.0,96.0,95.75387,96.0,96.0,96.0
Wallis and Futuna,WLF,,,,,,,,,,,,,
World,OWID_WRL,84.16,84.32265,84.76106,84.86014,85.43371,85.60183,86.06116,86.28823,86.33905,86.4896,86.71151,86.85275,87.01175
Yemen,YEM,70.0,70.0,70.0,70.0,68.78942,69.96195,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Zambia,ZMB,83.00767,88.0,88.0,88.0,88.0,85.11726,88.0,88.0,88.0,88.0,87.5,88.0,88.0
Zimbabwe,ZWE,90.0,83.58271,90.0,90.0,88.69342,86.87348,90.0,90.0,90.0,90.0,90.0,90.0,89.85
